field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
햇살실버타운,"요양원,요양센터",경북 구미시 구미중앙로42길 8,송정동 442-3,39271,정,부산광역시 해운대구 송정동 442-3,129.19648733677792,35.175822624014536
동서변실버타운,"요양원,요양센터",대구 북구 동변로20길 26,동변동 281,41412,정,대구광역시 북구 동변동 281,128.6016644161646,35.92230725911469
수안보실버타운,생활형숙박시설,충북 충주시 수안보면 관동길 63 . 101호,온천리 36-1 . 101호,27497,정,충청북도 충주시 수안보면 온천리 36-1,127.99884856101278,36.85021796816408
부영실버타운아파트,아파트,전북 김제시 하동1길 79-1,하동 404-20,54366,정,전북특별자치도 김제시 하동 404-20,126.89586346754864,35.81417056971523
상주연세실버타운,"요양원,요양센터",경북 상주시 낙동면 영남제일로 841,신상리 474,37247,정,경상북도 상주시 낙동면 신상리 474,128.23978964367743,36.403568231940994
하당실버타운요양원,"요양원,요양센터",전남 목포시 백년대로307번길 22-1 하당실버타운요양원,상동 25-1 하당실버타운요양원,58665,정,경기도 여주시 상동 25-1,127.65277149325321,37.28890649620896
푸른실버타운,"요양원,요양센터",대구 동구 안심로22길 40-7 동흥타워,율하동 1444,41106,정,경상남도 김해시 율하동 1444,128.80717713171177,35.170937002064214
신도곡실버타운,"요양원,요양센터",전남 화순군 도곡면 지석로 1218-18,대곡리 779-1,58155,정,전라남도 담양군 금성면 대곡리 779-1,127.02730219718465,35.34118650368904
둥지원 실버타운,"요양원,요양센터",경기 양평군 용문면 용문로621번길 23-24,마룡리 39-1,,정,경기도 양평군 용문면 마룡리 39-1,127.60788714375094,37.5048981726514
효누림실버타운 본관,"요양원,요양센터",경기 고양시 일산동구 고양대로 866-29,중산동 27-29,10311,정,경기도 고양시 일산동구 중산동 27-29,126.79062238409146,37.677875671174014
호계실버타운요양원,"요양원,요양센터",경기 안양시 동안구 엘에스로 45,호계동 711-1,14121,정,경상남도 양산시 호계동 711-1,129.06879532910395,35.36851147016344
시화실버타운요양원,"요양원,요양센터",경기 시흥시 서촌상가4길 20,정왕동 1730-4,15036,정,경기도 시흥시 정왕동 1730-4,126.73161667020636,37.34598236787251
흰돌실버타운101동,병원부속시설,부산 수영구 연수로260번길 53,망미동 774-283,48239,정,부산광역시 수영구 망미동 774-283,129.0988476527567,35.17065686521251
